Timestamp,Open,High,Low,Close,Volume,|,Date,Direction,Amplitude
1685841420000,27045.0,27060.1,27045.0,27060.1,1.78236266,|,2023-06-04 09:17:00,15.099999999998545,15.099999999998545
1685841360000,27037.0,27045.0,27036.9,27045.0,3.16987933,|,2023-06-04 09:16:00,8.0,8.099999999998545
1685841300000,27025.4,27037.0,27025.3,27037.0,1.35257046,|,2023-06-04 09:15:00,11.599999999998545,11.700000000000728
1685841240000,27031.9,27032.0,27025.3,27025.3,3.12693671,|,2023-06-04 09:14:00,-6.600000000002183,6.700000000000728
1685841180000,27032.1,27040.1,27031.7,27031.9,3.77698058,|,2023-06-04 09:13:00,-0.19999999999708962,8.399999999997817
1685841120000,27032.5,27037.8,27031.4,27032.1,1.85623203,|,2023-06-04 09:12:00,-0.4000000000014552,6.399999999997817
1685841060000,27003.8,27037.0,27003.8,27032.6,3.77735822,|,2023-06-04 09:11:00,28.799999999999272,33.20000000000073
1685841000000,26989.2,27003.8,26989.2,27003.8,1.02326113,|,2023-06-04 09:10:00,14.599999999998545,14.599999999998545
1685840940000,26975.3,26989.2,26975.2,26989.2,2.0983073,|,2023-06-04 09:09:00,13.900000000001455,14.0
1685840880000,26954.2,26971.3,26949.9,26971.3,1.89319579,|,2023-06-04 09:08:00,17.099999999998545,21.399999999997817
1685840820000,26964.6,26964.6,26954.1,26954.2,1.65068809,|,2023-06-04 09:07:00,-10.399999999997817,10.5
1685840760000,26969.7,26969.7,26964.6,26964.7,0.25333798,|,2023-06-04 09:06:00,-5.0,5.100000000002183
1685840700000,26961.0,26972.6,26956.3,26969.7,9.71286711,|,2023-06-04 09:05:00,8.700000000000728,16.299999999999272
1685840640000,26974.6,26977.2,26961.1,26961.2,2.16280078,|,2023-06-04 09:04:00,-13.399999999997817,16.100000000002183
1685840580000,26990.4,26990.5,26973.8,26974.7,1.62313933,|,2023-06-04 09:03:00,-15.700000000000728,16.700000000000728
1685840520000,26994.0,26994.5,26990.4,26990.4,0.69854124,|,2023-06-04 09:02:00,-3.599999999998545,4.099999999998545
1685840460000,26992.2,26998.6,26991.0,26994.6,7.60138813,|,2023-06-04 09:01:00,2.399999999997817,7.599999999998545
1685840400000,27005.3,27006.8,26992.2,26992.2,3.72782847,|,2023-06-04 09:00:00,-13.099999999998545,14.599999999998545
1685840340000,27015.1,27015.1,26999.3,27005.3,16.29601351,|,2023-06-04 08:59:00,-9.799999999999272,15.799999999999272
1685840280000,27028.0,27028.1,27015.6,27015.6,11.04081169,|,2023-06-04 08:58:00,-12.400000000001455,12.5
1685840220000,27028.0,27028.1,27028.0,27028.1,0.12601306,|,2023-06-04 08:57:00,0.09999999999854481,0.09999999999854481
1685840160000,27028.0,27028.1,27028.0,27028.1,0.16026161,|,2023-06-04 08:56:00,0.09999999999854481,0.09999999999854481
1685840100000,27028.9,27029.0,27028.0,27028.0,0.09717649,|,2023-06-04 08:55:00,-0.9000000000014552,1.0
1685840040000,27033.5,27033.6,27027.1,27029.0,1.10201835,|,2023-06-04 08:54:00,-4.5,6.5
1685839980000,27033.5,27033.6,27033.5,27033.5,0.16419245,|,2023-06-04 08:53:00,0.0,0.09999999999854481
1685839920000,27033.5,27033.6,27033.5,27033.5,0.07760942,|,2023-06-04 08:52:00,0.0,0.09999999999854481
1685839860000,27029.1,27033.6,27029.1,27033.6,0.20780338,|,2023-06-04 08:51:00,4.5,4.5
1685839800000,27027.3,27033.6,27027.3,27029.2,1.90354974,|,2023-06-04 08:50:00,1.9000000000014552,6.299999999999272
1685839740000,27030.3,27030.3,27026.0,27027.4,2.72345372,|,2023-06-04 08:49:00,-2.899999999997817,4.299999999999272
1685839680000,27035.0,27035.1,27030.3,27030.3,1.41323262,|,2023-06-04 08:48:00,-4.700000000000728,4.799999999999272
1685839620000,27035.1,27035.1,27035.0,27035.0,0.34403798,|,2023-06-04 08:47:00,-0.09999999999854481,0.09999999999854481
1685839560000,27043.5,27043.5,27035.0,27035.0,1.67483072,|,2023-06-04 08:46:00,-8.5,8.5
1685839500000,27044.2,27044.2,27043.4,27043.5,0.56641909,|,2023-06-04 08:45:00,-0.7000000000007276,0.7999999999992724
1685839440000,27044.2,27044.2,27044.1,27044.1,0.06526251,|,2023-06-04 08:44:00,-0.10000000000218279,0.10000000000218279
1685839380000,27043.0,27044.1,27042.9,27044.1,0.26810444,|,2023-06-04 08:43:00,1.0999999999985448,1.1999999999970896
1685839320000,27042.1,27043.0,27042.1,27042.9,0.31990626,|,2023-06-04 08:42:00,0.8000000000029104,0.9000000000014552
1685839260000,27040.0,27050.0,27040.0,27042.0,5.48633814,|,2023-06-04 08:41:00,2.0,10.0
1685839200000,27040.1,27040.3,27039.3,27040.0,4.79242115,|,2023-06-04 08:40:00,-0.09999999999854481,1.0
1685839140000,27046.3,27048.5,27039.3,27040.0,6.87312116,|,2023-06-04 08:39:00,-6.299999999999272,9.200000000000728
1685839080000,27051.2,27051.2,27046.0,27050.0,7.89289787,|,2023-06-04 08:38:00,-1.2000000000007276,5.200000000000728
1685839020000,27059.9,27059.9,27051.2,27051.2,0.73710796,|,2023-06-04 08:37:00,-8.700000000000728,8.700000000000728
1685838960000,27059.6,27061.4,27058.8,27059.9,0.21155676,|,2023-06-04 08:36:00,0.3000000000029104,2.600000000002183
1685838900000,27058.4,27059.6,27058.4,27059.5,0.09632957,|,2023-06-04 08:35:00,1.0999999999985448,1.1999999999970896
1685838840000,27058.5,27058.5,27058.4,27058.5,0.06018812,|,2023-06-04 08:34:00,0.0,0.09999999999854481
1685838780000,27061.3,27061.3,27057.5,27057.5,0.19235096,|,2023-06-04 08:33:00,-3.7999999999992724,3.7999999999992724
1685838720000,27062.6,27062.7,27059.5,27061.3,0.07249489,|,2023-06-04 08:32:00,-1.2999999999992724,3.2000000000007276
1685838660000,27062.6,27062.7,27059.4,27061.3,0.696327,|,2023-06-04 08:31:00,-1.2999999999992724,3.2999999999992724
1685838600000,27062.8,27062.8,27060.0,27062.6,0.05088188,|,2023-06-04 08:30:00,-0.2000000000007276,2.7999999999992724
1685838540000,27060.8,27062.8,27060.8,27062.8,0.04401,|,2023-06-04 08:29:00,2.0,2.0
1685838480000,27060.8,27060.8,27060.7,27060.8,0.0856492,|,2023-06-04 08:28:00,0.0,0.09999999999854481
1685838420000,27060.3,27060.8,27060.2,27060.8,0.04255743,|,2023-06-04 08:27:00,0.5,0.5999999999985448
1685838360000,27051.2,27060.3,27050.3,27060.2,1.48191282,|,2023-06-04 08:26:00,9.0,10.0
1685838300000,27044.0,27053.8,27042.4,27051.2,1.9848258,|,2023-06-04 08:25:00,7.200000000000728,11.399999999997817
1685838240000,27053.0,27053.0,27041.8,27041.8,1.23496882,|,2023-06-04 08:24:00,-11.200000000000728,11.200000000000728
1685838180000,27055.0,27055.0,27052.9,27052.9,0.51487881,|,2023-06-04 08:23:00,-2.099999999998545,2.099999999998545
1685838120000,27062.5,27062.6,27052.8,27054.9,3.04586104,|,2023-06-04 08:22:00,-7.599999999998545,9.799999999999272
1685838060000,27061.9,27062.6,27061.4,27062.5,0.13537796,|,2023-06-04 08:21:00,0.5999999999985448,1.1999999999970896
1685838000000,27063.4,27063.4,27058.6,27061.3,0.43595979,|,2023-06-04 08:20:00,-2.100000000002183,4.80000000000291
1685837940000,27057.8,27066.6,27057.8,27063.3,0.31532974,|,2023-06-04 08:19:00,5.5,8.799999999999272
1685837880000,27053.9,27057.8,27052.2,27057.7,0.34719378,|,2023-06-04 08:18:00,3.7999999999992724,5.599999999998545
1685837820000,27040.1,27060.6,27040.1,27053.8,9.43623253,|,2023-06-04 08:17:00,13.700000000000728,20.5
1685837760000,27046.6,27046.8,27040.1,27040.1,1.08337629,|,2023-06-04 08:16:00,-6.5,6.700000000000728
1685837700000,27051.1,27052.3,27046.7,27046.8,0.18549167,|,2023-06-04 08:15:00,-4.299999999999272,5.599999999998545
1685837640000,27061.4,27062.7,27051.0,27051.1,3.34463484,|,2023-06-04 08:14:00,-10.30000000000291,11.700000000000728
1685837580000,27057.5,27062.8,27057.5,27061.3,0.34961631,|,2023-06-04 08:13:00,3.7999999999992724,5.299999999999272
1685837520000,27050.1,27065.4,27050.0,27057.6,1.24669502,|,2023-06-04 08:12:00,7.5,15.400000000001455
1685837460000,27050.2,27050.2,27050.0,27050.0,0.03331887,|,2023-06-04 08:11:00,-0.2000000000007276,0.2000000000007276
1685837400000,27052.3,27052.3,27050.0,27050.1,0.24270509,|,2023-06-04 08:10:00,-2.2000000000007276,2.2999999999992724
1685837340000,27065.2,27065.3,27050.2,27052.3,1.65081753,|,2023-06-04 08:09:00,-12.900000000001455,15.099999999998545
1685837280000,27065.3,27065.3,27065.2,27065.3,0.22149901,|,2023-06-04 08:08:00,0.0,0.09999999999854481
1685837220000,27065.2,27065.3,27065.2,27065.3,0.02660351,|,2023-06-04 08:07:00,0.09999999999854481,0.09999999999854481
1685837160000,27069.1,27069.1,27065.2,27065.2,0.13008683,|,2023-06-04 08:06:00,-3.899999999997817,3.899999999997817
1685837100000,27064.4,27065.2,27062.4,27065.2,0.18567002,|,2023-06-04 08:05:00,0.7999999999992724,2.7999999999992724
1685837040000,27064.5,27064.5,27064.4,27064.4,0.11265672,|,2023-06-04 08:04:00,-0.09999999999854481,0.09999999999854481
1685836980000,27057.9,27065.1,27051.2,27064.4,1.48122319,|,2023-06-04 08:03:00,6.5,13.899999999997817
1685836920000,27065.9,27065.9,27057.6,27057.9,0.21357018,|,2023-06-04 08:02:00,-8.0,8.30000000000291
1685836860000,27065.0,27065.5,27051.9,27065.5,1.47974788,|,2023-06-04 08:01:00,0.5,13.599999999998545
1685836800000,27069.2,27073.9,27065.4,27065.4,1.01583093,|,2023-06-04 08:00:00,-3.7999999999992724,8.5
1685836740000,27069.1,27070.0,27069.1,27069.2,0.17324792,|,2023-06-04 07:59:00,0.10000000000218279,0.9000000000014552
1685836680000,27075.1,27076.6,27070.6,27070.7,3.87338175,|,2023-06-04 07:58:00,-4.399999999997817,6.0
1685836620000,27068.4,27075.1,27068.4,27075.1,0.99445765,|,2023-06-04 07:57:00,6.69999999999709,6.69999999999709
1685836560000,27066.6,27068.4,27066.5,27068.4,0.03850043,|,2023-06-04 07:56:00,1.8000000000029104,1.9000000000014552
1685836500000,27053.6,27066.6,27053.6,27066.6,0.90427353,|,2023-06-04 07:55:00,13.0,13.0
1685836440000,27053.6,27053.7,27053.6,27053.7,1.05850149,|,2023-06-04 07:54:00,0.10000000000218279,0.10000000000218279
1685836380000,27063.0,27063.6,27052.6,27053.6,3.17654399,|,2023-06-04 07:53:00,-9.400000000001455,11.0
1685836320000,27068.8,27068.9,27062.6,27064.2,0.38684246,|,2023-06-04 07:52:00,-4.599999999998545,6.30000000000291
1685836260000,27076.4,27076.4,27068.7,27068.7,0.83112753,|,2023-06-04 07:51:00,-7.700000000000728,7.700000000000728
1685836200000,27078.4,27078.4,27076.3,27076.3,0.09365424,|,2023-06-04 07:50:00,-2.100000000002183,2.100000000002183
